area,crop,last,tile,dates,SustInd,country,version,flatness,src_proj,perimeter,center_lat,center_lng,confidence,exterior_area,number_of_vertices,number_of_vertices_simplified,herbaceous_vegetation,shrubs,open_forest,id,id_long,center
17446.48041,16.67,0.06307,37MCT,"20230602,20230826,20230925",-7.452859,KE,202405,0.02998044675,32737,0,-2.35258,37.819435,97.52385664,17507.96268,88,37,66.67,16.67,0,165526_37MCT_ke-120712106,165526_37MCT_ke-1207121065083474_202405,"-2.35258,37.819435"
2298.649718,100,0.071043,37MCT,"20230602,20230826,20230925",-14.565881,KE,202405,0.0504434374,32737,0,-2.380223,37.833445,96.27099466,2298.649718,29,20,0,0,0,96434_37MCT_ke-1207121065,96434_37MCT_ke-1207121065083474_202405,"-2.380223,37.833445"
5576.694433,100,0.087521,37MCT,"20230602,20230826,20230925",-0.08171,KE,202405,0.04304207726,32737,0,-2.368835,37.823751,96.86340094,5576.694433,43,15,0,0,0,126692_37MCT_ke-120712106,126692_37MCT_ke-1207121065083474_202405,"-2.368835,37.823751"
1111.639967,100,0.102064,37MCT,"20230602,20230826,20230925",-0.330904,KE,202405,0.07190674954,32737,0,-2.378001,37.821452,96.40096045,1111.639967,14,10,0,0,0,44_37MCT_ke-1207121065083,44_37MCT_ke-1207121065083474_202405,"-2.378001,37.821452"
4744.875,100,0.064857,37MCT,"20230602,20230826,20230925",-4.307181,KE,202405,0.04474970404,32737,0,-2.35811,37.817895,97.33747673,4744.875,38,19,0,0,0,91908_37MCT_ke-1207121065,91908_37MCT_ke-1207121065083474_202405,"-2.35811,37.817895"
6130.489415,100,0.087868,37MCT,"20230602,20230826,20230925",1.45843,KE,202405,0.03658915126,32737,0,-2.366138,37.826266,97.8145833,6130.489415,59,24,0,0,0,167057_37MCT_ke-120712106,167057_37MCT_ke-1207121065083474_202405,"-2.366138,37.826266"
1943.70554,100,0.07484,37MCT,"20230602,20230826,20230925",-9.399235,KE,202405,0.03767872294,32737,0,-2.381663,37.838605,94.94938374,1943.70554,25,13,0,0,0,155428_37MCT_ke-120712106,155428_37MCT_ke-1207121065083474_202405,"-2.381663,37.838605"
59381.77982,100,0.098933,37MCT,"20230602,20230826,20230925",-8.203669,KE,202405,0.02923291536,32737,0,-2.370325,37.812318,94.86307287,61291.47606,259,125,0,0,0,29059_37MCT_ke-1207121065,29059_37MCT_ke-1207121065083474_202405,"-2.370325,37.812318"
7924.789384,100,0.086899,37MCT,"20230602,20230826,20230925",-1.909128,KE,202405,0.04285772969,32737,0,-2.356405,37.811873,97.28251123,7924.789384,55,23,0,0,0,61758_37MCT_ke-1207121065,61758_37MCT_ke-1207121065083474_202405,"-2.356405,37.811873"
3735.759412,100,0.072575,37MCT,"20230602,20230826,20230925",-5.386155,KE,202405,0.05595986298,32737,0,-2.375014,37.820706,93.79457378,3735.759412,27,11,0,0,0,2132_37MCT_ke-12071210650,2132_37MCT_ke-1207121065083474_202405,"-2.375014,37.820706"
546.61438,100,0.082955,37MCT,"20230602,20230826,20230925",-0.936992,KE,202405,0.06519207422,32737,0,-2.369694,37.833699,96.68311691,546.61438,17,8,0,0,0,2894_37MCT_ke-12071210650,2894_37MCT_ke-1207121065083474_202405,"-2.369694,37.833699"
12329.92176,100,0.08854,37MCT,"20230602,20230826,20230925",-1.013672,KE,202405,0.03953546105,32737,0,-2.369386,37.826267,97.64134741,12329.92176,48,14,0,0,0,54924_37MCT_ke-1207121065,54924_37MCT_ke-1207121065083474_202405,"-2.369386,37.826267"
6949.8777,100,0.069488,37MCT,"20230602,20230826,20230925",-12.466377,KE,202405,0.06219980274,32737,0,-2.379642,37.833967,97.31463981,6949.8777,35,14,0,0,0,106627_37MCT_ke-120712106,106627_37MCT_ke-1207121065083474_202405,"-2.379642,37.833967"
22270.65021,100,0.096036,37MCT,"20230602,20230826,20230925",0.596047,KE,202405,0.02752370333,32737,0,-2.370748,37.828076,96.4987433,22270.65021,97,37,0,0,0,112471_37MCT_ke-120712106,112471_37MCT_ke-1207121065083474_202405,"-2.370748,37.828076"
1600.357122,100,0.09079,37MCT,"20230602,20230826,20230925",2.008672,KE,202405,0.07024987586,32737,0,-2.358016,37.829148,96.52723312,1600.357122,17,12,0,0,0,2147_37MCT_ke-12071210650,2147_37MCT_ke-1207121065083474_202405,"-2.358016,37.829148"
2836.484687,100,0.072336,37MCT,"20230602,20230826,20230925",-11.766417,KE,202405,0.04574839185,32737,0,-2.377314,37.815003,96.83260131,2836.484687,36,14,0,0,0,2431_37MCT_ke-12071210650,2431_37MCT_ke-1207121065083474_202405,"-2.377314,37.815003"
